n_layers,n_nodes,activation,epochs,grid_size,learning_rate
3,40,sin,41752,43,0.00034429531064919386
3,95,tanh,90563,69,0.00023056700749407368
6,19,swish,85216,187,0.0001842411804467394
7,76,swish,59743,145,0.011130346373018636
10,46,swish,56462,181,1.980500896568931e-05
9,91,swish,93620,56,0.00034654305287321985
3,19,sigmoid,27173,12,0.09741398221558688
2,84,relu,78355,162,5.247955131525455e-05
6,15,swish,45859,125,0.00012532501754187054
8,31,sigmoid,33646,199,0.010869387233015114
10,9,relu,82065,26,0.050946036846198556
5,84,swish,8155,130,0.00023158872594975194
8,20,tanh,42356,192,0.0004457643374031497
9,25,sin,65809,68,0.0015399967234343659
7,16,sin,19160,48,0.0882841843935834
5,73,sigmoid,87782,113,3.136624269551213e-05
9,59,sigmoid,16465,59,5.978603708132954e-05
8,23,relu,95275,92,0.0037080153258158186
6,70,swish,79262,40,0.0016988268340562866
4,18,sigmoid,92897,151,0.0016944154715722022
2,89,swish,59855,130,0.0013455180805926105
7,7,sigmoid,64680,138,6.496304998863703e-05
9,78,swish,34730,32,0.00015767443871780626
2,51,relu,14454,125,0.00014102689221520728
5,66,sin,55987,92,0.0003019565486771593
9,85,relu,39128,119,0.0005181823400198533
7,41,sigmoid,32617,57,0.015220753703251483
10,47,tanh,50914,26,0.0007193171879438915
8,80,relu,17814,148,0.03497773752240561
5,39,sigmoid,62105,119,3.34293621862884e-05
5,98,sin,99643,52,6.44111201758058e-05
3,55,swish,63669,94,0.058528107205006064
10,46,swish,39698,83,0.00014023481922265546
10,64,relu,17947,178,0.00043630208570814946
9,98,sin,57371,60,0.007393264356528817
8,93,tanh,77506,59,0.09386758664344214
9,63,swish,36286,29,0.03851206117920302
2,14,sin,65417,44,0.0001848350654143318
4,32,tanh,16849,152,0.004476366511844378
6,55,sin,60659,103,0.0674335458866373
3,16,relu,83546,138,0.007222316881310554
4,74,sin,64388,185,4.5718303996619705e-05
10,70,sigmoid,56230,169,1.3011908844074614e-05
3,80,tanh,74949,69,2.627176634355119e-05
4,80,sin,45058,59,3.091076265514508e-05
10,87,tanh,26787,86,7.331993949847578e-05
7,24,relu,14275,10,3.5862054564693235e-05
5,22,tanh,59453,23,9.397914871326744e-05
2,78,relu,50196,115,0.00012146278463227895
6,8,sigmoid,38000,162,0.0011458193219725573
6,61,tanh,36851,177,0.0019543818980322382
5,85,swish,44158,30,0.010350463694499894
2,93,sin,26610,48,0.00011753752278368385
4,96,sin,52707,181,0.0004957982491227011
8,41,relu,24505,48,0.013675869924819336
4,22,relu,10844,14,4.160157754014052e-05
5,72,relu,82592,192,0.0004818597206905504
8,24,sin,50985,109,0.0075887264993529475
10,82,tanh,22012,24,0.00011058995536238635
7,5,sin,65905,191,0.003848300220502918
