test_name,final_l1_ab_error,final_l1_re_error,final_l2_ab_error,final_l2_re_error,final_pde_loss,final_bc_loss,final_ic_loss,final_total_loss,runtime,num_layers,num_nodes,activation_func,epochs,grid_size,learning_rate
diffusion_2d_0,0.000560269458219409,0.0014052663464099169,0.0007331171073019505,0.0015822529094293714,4.845811054110527e-05,3.4206566397188e-06,5.297040388541063e-06,5.7175806432496756e-05,200.5915777683258,3,40,sin,41752,43,0.0003442953106491
diffusion_2d_1,7.605230348417535e-05,0.00019075417367275804,9.954889537766576e-05,0.00021485179604496807,3.7600598261633422e-06,4.9951474068166135e-08,5.3286676404695754e-08,3.86329793400364e-06,460.84243988990784,3,95,tanh,90563,69,0.000230567007494
diffusion_2d_2,0.00015182446804828942,0.0003808057226706296,0.00021000967535655946,0.00045325420796871185,1.1616117490120814e-06,3.30209644516799e-07,1.1493897744685455e-07,1.6067604065028718e-06,889.698459148407,6,19,swish,85216,187,0.0001842411804467
diffusion_2d_3,0.009427402168512344,0.023645784705877304,0.009600718505680561,0.020720789209008217,0.0007858628523536026,0.0002189574297517538,9.909187065204605e-05,0.0011039121309295297,1589.821596622467,7,76,swish,59743,145,0.0111303463730186
diffusion_2d_4,0.0002855763304978609,0.0007162817637436092,0.00034658750519156456,0.0007480238564312458,4.677298875321867e-06,3.811057354141667e-07,5.031844807490415e-07,5.561588750424562e-06,2326.266198158264,10,46,swish,56462,181,1.980500896568931e-05
diffusion_2d_5,9.783361019799486e-05,0.00024538597790524364,0.00011521560372784734,0.0002486645244061947,2.2339836505125277e-06,4.297582023582436e-08,8.873147550048088e-09,2.285832806592225e-06,1599.516124010086,9,91,swish,93620,56,0.0003465430528732
diffusion_2d_6,0.0052879853174090385,0.013263310305774212,0.005770472344011068,0.012454144656658173,0.0009049540385603905,0.00011905017163371667,3.0540686566382647e-05,0.0010545449331402779,127.83005833625793,3,19,sigmoid,27173,12,0.0974139822155868
diffusion_2d_7,0.4280579090118408,1.0736536979675293,0.576043426990509,1.2432479858398438,14.911354064941406,0.2382226288318634,0.09933341294527054,15.248910903930664,423.96590876579285,2,84,relu,78355,162,5.247955131525455e-05
diffusion_2d_8,0.00021966890199109912,0.0005509729380719364,0.00030029588378965855,0.0006481147720478475,9.779682841326576e-06,6.485319090643316e-07,7.094608918123413e-07,1.1137675755890086e-05,531.9646575450897,6,15,swish,45859,125,0.0001253250175418
diffusion_2d_9,0.00181859009899199,0.004561382811516523,0.0022921692579984665,0.004947083070874214,0.00028850717353634536,3.019823088834528e-05,8.491008884448092e-06,0.0003271964087616652,655.2223629951477,8,31,sigmoid,33646,199,0.0108693872330151
diffusion_2d_10,0.3986927270889282,1.0,0.4633375108242035,1.0,16.556955337524414,6.938893903907228e-18,0.48076924681663513,17.0377254486084,824.6955270767212,10,9,relu,82065,26,0.0509460368461985
diffusion_2d_11,0.00042424091952852905,0.001064079930074513,0.0005702401977032423,0.001230723108164966,3.0121753297862597e-05,2.2821523089078255e-06,2.4431676592939766e-06,3.484707485768013e-05,120.14283537864685,5,84,swish,8155,130,0.0002315887259497
diffusion_2d_12,0.00032011387520469725,0.0008029087330214679,0.000426970305852592,0.0009215103345923126,7.783355613355525e-06,1.5716886991867796e-06,6.493540922747343e-07,1.0004398063756526e-05,541.391902923584,8,20,tanh,42356,192,0.0004457643374031
diffusion_2d_13,0.0012241201475262642,0.0030703346710652113,0.0014298693276941776,0.0030860211700201035,0.00010970169387292117,1.0945987924060319e-05,3.819395715254359e-06,0.00012446707114577293,719.9204120635986,9,25,sin,65809,68,0.0015399967234343
diffusion_2d_14,0.3987015187740326,1.000022053718567,0.4633239805698395,0.9999707937240601,10652239265792.0,2.127401330653811e-06,0.48981282114982605,10652239265792.0,191.4052152633667,7,16,sin,19160,48,0.0882841843935834
diffusion_2d_15,0.0003811563365161419,0.0009560152539052069,0.0005401619127951562,0.0011658065486699343,5.531564966076985e-06,2.8143822419224307e-06,3.2431387353426544e-07,8.670261195220519e-06,767.4914524555206,5,73,sigmoid,87782,113,3.136624269551213e-05
diffusion_2d_16,0.004846882540732622,0.012156937271356583,0.00653750728815794,0.014109600335359573,0.00033285855897702277,0.00029837479814887047,0.00014534563524648547,0.0007765789632685483,197.1833622455597,9,59,sigmoid,16465,59,5.978603708132954e-05
