num_layers,num_nodes,activation_func,epochs,grid_size,learning_rate,fitness
4,54,sin,75805,65,3.857878400561781e-05,1
4,98,sin,81248,144,2.0646151066571228e-05,2
2,23,sin,32042,81,0.0442339479499398,3
4,49,sin,74289,143,4.996411403360032e-05,4
4,75,sin,63866,134,1.9338896850853823e-05,5
4,93,sigmoid,72431,116,5.36649598095332e-05,6
3,8,sin,94452,61,0.0024233255777181,7
2,6,sin,66348,30,0.0278929263644342,8
9,90,sigmoid,98154,189,2.539498705109932e-05,9
4,74,sin,64388,185,4.5718303996619705e-05,10
3,65,sin,86303,175,0.0150105861472828,11
9,18,sin,80978,138,6.745648998650203e-05,12
5,26,sin,60866,87,2.282902385861573e-05,13
5,67,sigmoid,81072,61,0.0002197110348575,14
6,36,sin,96020,100,2.277224220316469e-05,15
7,45,tanh,74003,82,4.284883442473674e-05,16
2,9,sin,55279,33,0.0476382962833382,17
4,40,sin,67774,137,0.0004309935924755,18
4,94,tanh,82551,128,0.0011889240435786,19
4,47,sin,53208,85,4.807987708014864e-05,20
8,74,swish,74839,74,0.0013715818189699,1
8,81,swish,65780,149,0.001071803395832,2
9,91,swish,93620,56,0.0003465430528732,3
8,54,swish,66570,155,0.001263004469071,4
9,90,swish,58173,54,0.0005466267967997,5
7,91,swish,95207,73,0.0012722328676164,6
8,61,swish,91719,142,0.001030730572088,7
9,83,swish,54418,80,0.000801821171103,8
7,77,swish,75172,122,0.0006354094803811,9
8,66,swish,98948,47,0.0008756662162346,10
8,31,swish,74741,92,0.0015998278902945,11
10,63,swish,88244,98,0.000896885902591,12
8,77,swish,61449,74,0.0010041388459254,13
9,40,sin,63913,118,0.0008845105343792,14
5,30,tanh,62644,46,0.004328872095367,15
6,62,swish,52000,144,0.0017718169161105,16
6,25,sin,66840,47,0.0015635178226752,17
8,56,swish,73186,144,0.0017387749968771,18
6,89,tanh,72989,130,0.0009223134507952,19
8,11,tanh,40440,198,0.0063882953593471,20
8,83,swish,66029,146,0.0002682987912737,1
7,67,swish,96851,125,0.0001965059857309,2
9,51,swish,77781,31,0.0003398915406269,3
7,77,swish,75172,122,0.0006354094803811,4
7,57,swish,66203,77,3.3607292639544235e-05,5
6,56,swish,36347,141,0.000373561191087,6
7,37,swish,89105,26,0.0050767156649351,7
7,39,swish,90314,99,0.0001979701904557,8
8,29,swish,97610,196,7.78273894040381e-05,9
6,68,swish,30204,109,0.0008679792983158,10
8,81,swish,47556,104,1.3303043336783263e-05,11
8,61,swish,91719,142,0.001030730572088,12
5,33,swish,66465,22,0.0005219432495777,13
8,66,swish,98948,47,0.0008756662162346,14
3,95,tanh,90563,69,0.000230567007494,15
8,100,swish,55405,69,2.084632178976717e-05,16
10,66,swish,74582,151,1.587401217143381e-05,17
10,77,swish,89460,62,4.88764398144356e-05,18
3,80,tanh,74949,69,2.627176634355119e-05,19
9,9,swish,67467,127,3.2577456892919e-05,20
2,6,sin,66348,30,0.0278929263644342,1
3,49,sin,72522,21,0.0005595975603782,2
3,50,sin,85057,173,0.0007335705899981,3
3,52,sin,85783,96,0.0018547777990801,4
3,77,sin,94770,144,2.1588062989248224e-05,5
4,30,sin,98698,27,0.0009689284189838,6
5,81,sigmoid,70751,197,0.0028957837945188,7
3,76,tanh,92826,183,0.0001145601619948,8
4,88,tanh,53502,70,0.000318411771353,9
3,39,sin,95699,78,0.0021725143869575,10
3,52,tanh,87184,29,0.0025435033346951,11
4,92,sin,69063,100,0.0003812014711862,12
3,64,tanh,59535,141,0.0008059453978294,13
4,34,sin,67922,110,0.0005226109451922,14
3,86,tanh,94932,115,9.092984005355896e-05,15
4,78,sin,88624,179,0.0016724757527198,16
3,59,tanh,67850,73,0.0003077339601994,17
4,78,sigmoid,84193,186,0.0024447351186451,18
4,90,tanh,50705,199,6.26442576621902e-05,19
4,43,sin,81306,196,0.0016436435259992,20
6,77,sigmoid,25580,24,0.0029933967462308,1
4,75,sigmoid,50576,30,0.0170649416095179,2
7,66,sigmoid,46365,32,0.0005780650942788,3
7,37,swish,89105,26,0.0050767156649351,4
5,98,sin,99643,52,6.44111201758058e-05,5
6,89,sin,62350,66,1.608306656787021e-05,6
8,34,sigmoid,84070,55,0.0001313031358417,7
7,90,sin,40600,72,4.025685528255844e-05,8
6,83,sigmoid,94441,40,0.0006884688431726,9
7,61,sin,76516,78,4.3686452474587686e-05,10
5,44,sin,58507,80,7.375878897296089e-05,11
7,21,tanh,17117,69,2.8446484712774643e-05,12
10,16,swish,50386,70,0.0001270549037198,13
6,8,sin,80516,64,0.0007470221301129,14
9,77,sin,27397,78,4.079013941119816e-05,15
9,38,tanh,60794,73,1.3725941776413714e-05,16
5,42,swish,72944,96,8.806644897214576e-05,17
8,89,swish,74637,70,4.966181160376816e-05,18
6,43,swish,23469,65,0.0001469035104184,19
8,64,sin,54805,86,1.0053312122086064e-05,20
7,77,swish,75172,122,0.0006354094803811,1
8,66,swish,98948,47,0.0008756662162346,2
4,51,swish,92676,191,0.0069671328663681,3
6,70,swish,79262,40,0.0016988268340562,4
3,9,sin,77191,46,7.546218078864526e-05,5
7,71,sin,48171,155,0.0004523859802012,6
7,53,swish,70887,156,0.0003499150751565,7
5,26,sin,97726,135,0.0005866244075826,8
3,52,sin,85783,96,0.0018547777990801,9
6,48,swish,85382,106,0.0125773800558881,10
2,81,sin,84464,126,0.0034693714051431,11
3,77,sin,88353,92,0.0046035959164681,12
7,26,swish,98884,128,0.0004805269387226,13
3,50,sin,85057,173,0.0007335705899981,14
8,21,sin,87711,133,0.0008596000601063,15
7,40,swish,22409,75,0.000742949662044,16
9,78,swish,34730,32,0.0001576744387178,17
8,61,swish,91719,142,0.001030730572088,18
9,77,sin,18636,158,5.858252937879633e-05,19
7,59,sin,43822,94,0.000341173931362,20
4,69,sigmoid,93247,120,0.0056520566708974,1
6,97,sigmoid,80190,78,0.0037780359558253,2
6,94,tanh,81353,167,0.0009109322457361,3
7,56,tanh,79623,90,0.001218116766409,4
5,52,sigmoid,91215,145,0.0095780975791101,5
6,89,tanh,72989,130,0.0009223134507952,6
5,85,sigmoid,85641,115,0.0194022392122402,7
7,89,tanh,67803,120,0.0006276468764397,8
7,84,tanh,80535,169,0.0010495235227229,9
7,52,sigmoid,68446,198,0.0068777708491279,10
6,55,swish,97481,193,0.0022461445552565,11
8,61,tanh,66545,75,0.0013989144167136,12
5,59,sigmoid,88831,92,0.0128977396373119,13
7,42,tanh,96800,161,0.0028252647711198,14
8,49,sigmoid,76972,83,0.0070075276770178,15
7,47,tanh,88041,127,0.0014138377275889,16
7,41,tanh,82117,195,0.0009648519140172,17
5,47,sigmoid,72059,128,0.0271698780068211,18
7,95,sigmoid,70372,114,0.0035756709717676,19
