test_name,final_l1_ab_error,final_l1_re_error,final_l2_ab_error,final_l2_re_error,final_pde_loss,final_bc_loss,final_ic_loss,final_total_loss,runtime,num_layers,num_nodes,activation_func,epochs,grid_size,learning_rate
reaction_2d_0,0.03825647011399269,0.0699266716837883,0.07642228156328201,0.113253653049469,0.0002466371515765786,6.84380268012319e-07,4.852226993534714e-05,0.0002958438126370311,165.85330772399902,3,40,sin,41752,43,0.0003442953106491
reaction_2d_1,0.029300371184945107,0.05355636402964592,0.06039229407906532,0.08949808776378632,1.530873305455316e-05,1.4163106243358925e-07,3.3426949812565e-05,4.887731483904645e-05,327.116366147995,3,95,tanh,90563,69,0.000230567007494
reaction_2d_2,0.008363108150660992,0.015286415815353394,0.019230352714657784,0.02849833481013775,2.416007646388607e-06,1.8675484270147535e-08,1.0190916555075091e-06,3.453774752415484e-06,593.8914625644684,6,19,swish,85216,187,0.0001842411804467
reaction_2d_3,0.5359833240509033,0.9796912670135498,0.6646358370780945,0.9849540591239929,0.0038530740421265364,0.0,0.21236290037631989,0.21621596813201904,639.8105266094208,7,76,swish,59743,145,0.0111303463730186
reaction_2d_4,0.010815199464559555,0.019768444821238518,0.02434331737458706,0.036075469106435776,2.410064098512521e-06,4.406752296404193e-08,2.154232788598165e-06,4.608364179148339e-06,935.5066876411438,10,46,swish,56462,181,1.980500896568931e-05
reaction_2d_5,0.0002735839516390115,0.0005000674282200634,0.0006192831206135452,0.0009177438332699239,1.000254901128983e-08,7.980164445919868e-11,7.088743814165355e-09,1.717109476828682e-08,968.2416181564331,9,91,swish,93620,56,0.0003465430528732
reaction_2d_6,0.0263409111648798,0.04814694821834564,0.049572061747312546,0.0734630897641182,0.0002634796255733818,1.6081437479442684e-06,4.9181464419234544e-05,0.00031426921486854553,98.44473505020142,3,19,sigmoid,27173,12,0.0974139822155868
reaction_2d_7,0.5418350696563721,0.9903873205184937,0.6706869006156921,0.9939213991165161,0.009363961406052113,1.0295903685175745e-08,0.20095938444137573,0.21032336354255676,233.89357089996338,2,84,relu,78355,162,5.247955131525455e-05
reaction_2d_8,0.016312139108777046,0.02981596626341343,0.03590480610728264,0.05320896580815315,5.3641165322915185e-06,9.119338528762455e-07,5.835329830006231e-06,1.2111380783608183e-05,336.90791964530945,6,15,swish,45859,125,0.0001253250175418
reaction_2d_9,0.006281254813075066,0.01148112304508686,0.014523647725582123,0.021523253992199898,6.298184598563239e-05,3.145665772308348e-08,3.1342367492470657e-06,6.614753510802984e-05,390.6822998523712,8,31,sigmoid,33646,199,0.0108693872330151
reaction_2d_10,0.5364470481872559,0.9805389046669006,0.6650971174240112,0.9856376647949219,0.0035136917140334845,0.0,0.2059493511915207,0.20946304500102997,675.6918957233429,10,9,relu,82065,26,0.0509460368461985
reaction_2d_11,0.5373260378837585,0.9821455478668213,0.6632670164108276,0.982925534248352,0.019035490229725838,1.2055330671500997e-06,0.1802782565355301,0.19931495189666748,55.69369959831238,5,84,swish,8155,130,0.0002315887259497
reaction_2d_12,0.008862168528139591,0.016198618337512016,0.018988758325576782,0.02814030461013317,2.5973155061365105e-05,1.4962610293878242e-05,7.399197329505114e-06,4.8334964958485216e-05,358.39215540885925,8,20,tanh,42356,192,0.0004457643374031
reaction_2d_13,0.002213366562500596,0.004045677836984396,0.005721305962651968,0.008478663861751556,1.635222872664599e-07,4.6320997038051814e-10,7.260822343369e-08,2.3659373482587398e-07,515.2003617286682,9,25,sin,65809,68,0.0015399967234343
reaction_2d_14,0.5533615350723267,1.0114558935165405,0.6798797845840454,1.007544755935669,1.4493451118469238,7.446022687318532e-10,0.22082839906215668,1.6701735258102417,127.11768245697021,7,16,sin,19160,48,0.0882841843935834
reaction_2d_15,0.5386822819709778,0.9846245646476746,0.6645627617835999,0.984845757484436,0.019625931978225708,3.1605745220986137e-07,0.17950724065303802,0.1991334855556488,441.4303159713745,5,73,sigmoid,87782,113,3.136624269551213e-05
reaction_2d_16,0.5406132340431213,0.9881539940834045,0.667063295841217,0.9885514378547668,0.019108176231384277,8.523821648509511e-09,0.17882898449897766,0.19793717563152313,153.69495296478271,9,59,sigmoid,16465,59,5.978603708132954e-05
reaction_2d_17,0.5410977005958557,0.9890395402908325,0.6704331636428833,0.993545413017273,0.009333199821412563,4.714795795734972e-05,0.19984139502048492,0.209221750497818,739.635134935379,8,23,relu,95275,92,0.0037080153258158
reaction_2d_18,0.0018140467582270503,0.0033157856669276953,0.004323484841734171,0.006407168693840504,5.194550340092974e-06,1.1048807202485023e-08,1.4718798979629355e-07,5.352787411538884e-06,570.3167214393616,6,70,swish,79262,40,0.0016988268340562
reaction_2d_19,0.02123723179101944,0.03881824389100075,0.04492193087935448,0.06657185405492783,8.713707757124212e-06,8.2709128434999e-08,9.792193850444164e-06,1.8588611055747606e-05,420.2714750766754,4,18,sigmoid,92897,151,0.0016944154715722
reaction_2d_20,0.35984331369400024,0.6577357053756714,0.4544203281402588,0.6734261512756348,0.02704544924199581,3.857442061416805e-05,0.16498765349388123,0.19207167625427246,190.9330611228943,2,89,swish,59855,130,0.0013455180805926
reaction_2d_21,0.04804458096623421,0.08781776577234268,0.06631774455308914,0.09827928245067596,0.0024412889033555984,0.00023872902966104448,0.006649884860962629,0.009329902939498425,434.1732771396637,7,7,sigmoid,64680,138,6.496304998863703e-05
reaction_2d_22,0.0076750158332288265,0.014028694480657578,0.013984150253236294,0.020723748952150345,0.00016226184379775077,3.203285359631991e-06,4.91271157443407e-06,0.00017037783982232213,367.6489019393921,9,78,swish,34730,32,0.0001576744387178
reaction_2d_23,0.5412372946739197,0.989294707775116,0.6704846620559692,0.9936217069625854,0.009741253219544888,8.381516636291053e-06,0.1997833400964737,0.2095329761505127,43.27556490898132,2,51,relu,14454,125,0.0001410268922152
reaction_2d_24,0.01510064210742712,0.027601543813943863,0.03296584635972977,0.04885358735918999,1.2902550224680454e-05,7.397543981824128e-07,4.933865966449957e-06,1.8576170987216756e-05,285.06784081459045,5,66,sin,55987,92,0.0003019565486771
reaction_2d_25,0.5407478213310242,0.9883999824523926,0.6676090359687805,0.9893602132797241,0.014024222269654274,4.476869435166009e-06,0.18884198367595673,0.2028706818819046,376.3007781505585,9,85,relu,39128,119,0.0005181823400198
reaction_2d_26,0.5384970903396606,0.9842860102653503,0.6703108549118042,0.993364155292511,3.364014264661819e-05,7.975356375311549e-09,3.248982466175221e-05,6.613794539589435e-05,208.8144245147705,7,41,sigmoid,32617,57,0.0152207537032514
reaction_2d_27,0.5366948843002319,0.9809918999671936,0.6686352491378784,0.9908809661865234,3.706214783960604e-06,3.3582585601266146e-09,1.8928587905975292e-06,5.60243188374443e-06,421.2276566028595,10,47,tanh,50914,26,0.0007193171879438
reaction_2d_28,0.5360903143882751,0.9798868298530579,0.6647425293922424,0.985112190246582,0.0037732417695224285,0.0,0.21247194707393646,0.21624518930912018,131.81436777114868,8,80,relu,17814,148,0.0349777375224056
reaction_2d_29,0.53631591796875,0.9802992343902588,0.6615368127822876,0.9803615212440491,0.01956428959965706,2.2763540528103476e-06,0.1797201931476593,0.19928675889968872,325.7943856716156,5,39,sigmoid,62105,119,3.34293621862884e-05
reaction_2d_30,0.025318508967757225,0.04627816006541252,0.048611514270305634,0.07203961163759232,0.0003857519768644124,2.3180835341918282e-05,3.394429222680628e-05,0.00044287709170021117,531.6357305049896,5,98,sin,99643,52,6.44111201758058e-05
reaction_2d_31,0.5361421704292297,0.9799816012382507,0.6647942662239075,0.9851888418197632,0.0037348174955695868,0.0,0.21168047189712524,0.21541528403759003,267.6610326766968,3,55,swish,63669,94,0.058528107205006
reaction_2d_32,0.005180319305509329,0.009468790143728256,0.012183809652924538,0.018055742606520653,4.5968744188940036e-07,1.5653864871012502e-09,3.9750153746354044e-07,8.587543334215297e-07,409.8171753883362,10,46,swish,39698,83,0.0001402348192226
reaction_2d_33,0.5385239720344543,0.98433518409729,0.6654344201087952,0.9861375093460083,0.015975501388311386,2.3980551304703113e-06,0.18709290027618408,0.20307080447673798,192.93447470664978,10,64,relu,17947,178,0.0004363020857081
reaction_2d_34,0.5359356999397278,0.9796042442321777,0.6645882725715637,0.9848836064338684,0.0038057127967476845,1.109994301334849e-11,0.2102399319410324,0.21404564380645752,497.2259383201599,9,98,sin,57371,60,0.0073932643565288
reaction_2d_35,0.43291887640953064,0.7913060784339905,0.5794218182563782,0.8586715459823608,0.01981412060558796,0.0,0.5625082850456238,0.5823224186897278,541.8072953224182,8,93,tanh,77506,59,0.0938675866434421
reaction_2d_36,0.5335052609443665,0.9751617908477783,0.6621263027191162,0.9812350869178772,0.005967608653008938,0.0,0.20466643571853638,0.2106340378522873,352.00416231155396,9,63,swish,36286,29,0.038512061179203
reaction_2d_37,0.11950043588876724,0.21842756867408752,0.19668695330619812,0.29147934913635254,0.005556465592235327,4.55528570455499e-05,0.0026379043702036142,0.008239923045039177,199.0510175228119,2,14,sin,65417,44,0.0001848350654143
reaction_2d_38,0.025322163477540016,0.046284839510917664,0.05070609599351883,0.07514367252588272,0.00012290687300264835,6.198182381922379e-05,4.4381820771377534e-05,0.00022927051759324968,73.85275936126709,4,32,tanh,16849,152,0.0044763665118443
reaction_2d_39,0.5468618273735046,0.9995754361152649,0.6746002435684204,0.9997208118438721,2.3373985290527344,3.4401995141486452e-12,0.21926161646842957,2.5566601753234863,363.8164405822754,6,55,sin,60659,103,0.0674335458866373
reaction_2d_40,0.5425753593444824,0.9917404651641846,0.6710778474807739,0.9945008158683777,0.007466461975127459,1.0129139749182059e-09,0.20444947481155396,0.21191594004631042,304.9765520095825,3,16,relu,83546,138,0.0072223168813105
reaction_2d_41,0.022122683003544807,0.04043670371174812,0.046875882893800735,0.06946749985218048,2.3751215849188156e-05,1.283121719097835e-06,9.447865522815846e-06,3.4482203773222864e-05,382.89324378967285,4,74,sin,64388,185,4.5718303996619705e-05
reaction_2d_42,0.5406330227851868,0.9881901741027832,0.6671488881111145,0.9886782765388489,0.019770462065935135,2.3977009266928917e-10,0.17981797456741333,0.19958843290805817,676.2554938793182,10,70,sigmoid,56230,169,1.3011908844074614e-05
reaction_2d_43,0.5344554781913757,0.9768986105918884,0.6588850021362305,0.976431667804718,0.01929023489356041,3.190409870512667e-06,0.17895488440990448,0.19824831187725067,277.1441967487335,3,80,tanh,74949,69,2.627176634355119e-05
reaction_2d_44,0.03559210151433945,0.06505663692951202,0.0730467289686203,0.10825127363204956,7.307885971385986e-05,1.1625166962403455e-06,3.9247948734555393e-05,0.0001134893245762214,196.5635690689087,4,80,sin,45058,59,3.091076265514508e-05
reaction_2d_45,0.5379533171653748,0.9832921028137207,0.6639138460159302,0.9838841557502747,0.019808726385235786,8.857427360453585e-07,0.17834730446338654,0.1981569230556488,238.49217748641968,10,87,tanh,26787,86,7.331993949847578e-05
reaction_2d_46,0.5393361449241638,0.9858196973800659,0.6651877760887146,0.9857720136642456,0.014314708299934864,7.469990919162228e-07,0.17045234143733978,0.18476779758930206,102.28656911849976,7,24,relu,14275,10,3.5862054564693235e-05
