iteration,n_layers,n_nodes,activation,epochs,grid_size,learning_rate,fitness,is_initial
1,5,52,sin,67795,59,0.0005878217587962,0.09997866302728653,True
2,3,100,sin,43726,78,0.0011849892511485,0.6665899157524109,True
3,6,88,sin,96222,61,0.0009215580407877,0.09698419272899628,True
4,6,38,tanh,55403,85,0.0137954292981904,1.0,True
5,5,71,sin,72575,200,0.0018418884222506,0.0279800146818161,True
6,4,69,sin,85654,27,7.820852719338074e-05,0.15207070112228394,True
7,5,64,sin,97882,10,0.0011308400992544,1.1752049922943115,True
8,9,74,sin,100000,86,0.0016636799518437,0.2824092507362366,True
9,7,92,sin,81436,38,0.0021947918490761,0.744793713092804,True
10,5,80,swish,92945,167,0.0014704361609709,0.09350413829088211,True
11,3,89,sin,75480,93,0.0009188017866650824,0.027869222685694695,False
12,3,89,sin,75480,93,0.0006420682072770512,0.8249949216842651,False
13,6,36,sin,90314,137,0.0009188438035978377,0.2393520474433899,False
14,6,36,sin,90314,137,0.0009519715602342962,0.09332098066806793,False
15,3,89,sin,75480,93,0.0009188209976594207,0.5310036540031433,False
16,3,89,sin,75480,93,0.0009179127303050182,0.635387122631073,False
17,6,36,sin,90314,137,0.0009195805617279286,0.09891291707754135,False
18,6,36,sin,90314,137,0.0009200221657509358,0.12669266760349274,False
19,6,36,sin,90314,137,0.0009195482579535294,0.07753152400255203,False
20,6,36,sin,90314,137,0.0009205983278328411,0.10284633189439774,False
21,6,36,sin,90314,137,0.0009199870144946789,0.07950060814619064,False
22,3,89,sin,75480,93,0.0009187856519678486,0.6374355554580688,False
23,6,36,sin,90314,137,0.0009206234601467076,0.21224865317344666,False
24,6,36,sin,90314,137,0.0009199553399645681,0.06820280849933624,False
25,3,89,sin,75480,93,0.0009200407472603716,0.7220427393913269,False
26,3,89,sin,75480,93,0.0009204323095455106,0.6357262134552002,False
27,3,89,sin,75480,93,0.000919307215909246,0.015243150293827057,False
28,6,36,sin,90314,137,0.0009205690139948572,0.09568959474563599,False
29,3,89,sin,75480,93,0.0009193245944383771,0.021115554496645927,False
30,3,89,sin,75480,93,0.0009192855509793138,0.5405970215797424,False
31,3,89,sin,75480,93,0.0009215886672504759,0.01524951122701168,False
32,3,89,sin,75480,93,0.0009207565470306658,0.7310099601745605,False
33,3,89,sin,75480,93,0.0009215671760053875,0.5049043893814087,False
34,6,36,sin,90314,137,0.0009200008659053505,0.0634884163737297,False
35,3,89,sin,75480,93,0.0009215981619686034,0.638891339302063,False
36,3,89,sin,75480,93,0.0009219107333458597,0.01838972419500351,False
37,3,89,sin,75480,93,0.0009175141031857422,0.06751135736703873,False
38,3,89,sin,75480,93,0.0009220291621277544,0.6328951120376587,False
39,6,36,sin,90314,137,0.0009200499451977817,0.12794673442840576,False
40,3,89,sin,75480,93,0.0009224782478886651,0.024671871215105057,False
41,3,89,sin,75480,93,0.0009224615195034293,0.5619876384735107,False
42,3,89,sin,75480,93,0.0009224909887827135,0.7452166676521301,False
43,3,89,sin,75480,93,0.0009230905729923617,0.5532316565513611,False
44,3,89,sin,75480,93,0.0009236749217796549,0.6390621066093445,False
45,3,89,sin,75480,93,0.0009184027521215755,0.028811905533075333,False
46,6,36,sin,90314,137,0.0009199655560329147,0.21558649837970734,False
47,3,89,sin,75480,93,0.000918331329372789,0.3871491253376007,False
48,6,36,sin,90314,137,0.0009188050579738927,0.19055518507957458,False
49,6,36,sin,90314,137,0.0009199347090897959,0.23544637858867645,False
50,3,89,sin,75480,93,0.0009169034259592901,0.7983288764953613,False
