iteration,n_layers,n_nodes,activation,epochs,grid_size,learning_rate,fitness,is_initial
1,7,11,tanh,47076,46,0.0314316645113961,0.9356257915496826,True
2,7,100,relu,50922,27,0.0122041432507613,0.9433577060699463,True
3,8,80,relu,72409,176,0.0016587443023398,0.49498504400253296,True
4,8,36,sigmoid,88721,103,0.0799511386790551,0.9426745772361755,True
5,9,53,relu,44901,102,0.0005500251881296,0.49932485818862915,True
6,3,24,sin,81977,169,0.0074979800600515,0.006871305406093597,True
7,2,90,sin,63730,10,0.0090806812957729,0.49384909868240356,True
8,5,86,sin,14031,27,0.0119904925822004,0.9439865946769714,True
9,8,88,swish,75630,178,0.0126749105551364,0.9424794912338257,True
10,9,84,swish,66229,195,0.0045334507163831,0.9437141418457031,True
11,2,37,sin,83069,185,0.007460690664289604,0.037230994552373886,False
12,2,40,tanh,74479,141,1e-05,0.0317767858505249,False
13,2,12,swish,92538,90,1e-05,0.3478574752807617,False
14,2,37,sin,83069,185,1e-05,0.35341712832450867,False
15,3,13,tanh,73148,139,0.009416291385845797,0.0019970214925706387,False
16,3,13,tanh,73148,139,4.9425277526927846e-05,0.004012331832200289,False
17,5,5,sin,84714,189,0.020256595817436808,0.028362490236759186,False
18,5,5,sin,84714,189,0.00849674342078818,0.004214684013277292,False
19,5,28,sigmoid,77369,172,1e-05,0.013070352375507355,False
20,2,50,relu,71235,125,1e-05,0.4849727749824524,False
21,5,12,swish,91416,137,0.006636463213532345,0.0014316001906991005,False
22,8,7,tanh,80629,171,1e-05,0.004523242358118296,False
23,8,5,relu,46949,188,1e-05,0.39521411061286926,False
24,5,12,swish,91416,137,1e-05,0.002504564356058836,False
25,9,8,sin,88807,164,1e-05,0.002255939180031419,False
26,6,36,sin,90314,137,0.010254045985540583,0.005957442801445723,False
27,9,8,sin,88807,164,0.013055635713375585,0.01526265125721693,False
28,10,21,sin,98070,161,0.004554797106154133,0.003923666663467884,False
29,10,31,sin,97787,12,1.06612596894339e-05,0.17611095309257507,False
30,7,19,swish,73027,110,1e-05,0.002305347239598632,False
31,9,41,swish,89651,113,1e-05,0.0022276178933680058,False
32,10,28,swish,88042,45,1e-05,0.002269820077344775,False
33,7,25,sigmoid,82149,84,1e-05,0.0276718158274889,False
34,6,31,sin,72779,95,1e-05,0.0030579145532101393,False
35,6,5,tanh,99841,10,1e-05,0.93620765209198,False
36,9,42,tanh,81077,116,1e-05,0.0025800832081586123,False
37,8,6,sin,54115,137,1e-05,0.01674536243081093,False
38,3,6,sin,28236,157,1e-05,0.7749087810516357,False
39,9,34,tanh,61570,118,1e-05,0.003281611716374755,False
40,10,78,tanh,77592,16,1e-05,0.17362235486507416,False
41,9,8,sin,88807,164,0.006148374648358277,0.0018224901286885142,False
42,6,31,sin,72779,95,0.007918176215432301,0.002865136368200183,False
43,3,13,tanh,73148,139,0.004584679758725489,0.009330752305686474,False
44,7,27,tanh,61958,164,1e-05,0.0029571945779025555,False
45,5,39,sin,78744,181,0.016783102640667322,0.8126454949378967,False
46,6,36,sin,90314,137,0.001991823781864557,0.003151851473376155,False
47,9,46,sin,98105,36,0.014989355913889946,0.9434466361999512,False
48,2,94,relu,6917,148,0.1,1.7081772089004517,False
49,2,63,sin,99209,139,0.01796682381712525,0.020866036415100098,False
50,2,65,swish,98610,110,0.004290124212694645,0.1366819590330124,False
