iteration,n_layers,n_nodes,activation,epochs,grid_size,learning_rate,fitness,is_initial
1,9,70,tanh,56942,107,6.816907489642659e-05,0.008154058828949928,True
2,6,28,sin,40201,54,0.0108104931621762,0.05314730852842331,True
3,7,65,sigmoid,100000,154,4.648190256792575e-05,0.6706718802452087,True
4,4,85,sin,100000,59,0.0005643533120828,0.020495502278208733,True
5,7,74,sin,76494,59,0.0026055511576476,0.02057049423456192,True
6,7,62,swish,88839,135,0.0018307686093875,0.026994798332452774,True
7,6,88,swish,100000,154,0.0019021104450183,0.020806774497032166,True
8,9,63,sin,92644,181,1e-05,0.0014268910745158792,True
9,8,5,sin,45839,97,0.0012369029421399,0.04183424264192581,True
10,3,100,sin,60510,38,0.0024302924132421,0.01497084554284811,True
11,7,72,sin,81561,66,0.001074031853300733,0.03201289474964142,False
12,7,71,sin,96029,62,1e-05,0.0006833503721281886,False
13,8,79,sin,86715,58,1e-05,0.0007063251687213778,False
14,7,54,sin,76220,47,0.004216190931920877,0.04186024144291878,False
15,7,72,sin,81561,67,0.001074031853300733,0.07582151144742966,False
16,7,59,sin,79417,67,1e-05,0.0022887536324560642,False
17,7,73,sin,85130,55,1e-05,0.0011593723902478814,False
18,7,89,sin,71513,81,1e-05,0.0011359811760485172,False
19,7,54,sin,83431,80,0.0027875432969192483,0.016993023455142975,False
20,7,70,sin,74723,58,0.011644196993263673,0.9988163113594055,False
21,7,72,sin,79996,56,0.001074031853300733,0.04409969598054886,False
22,7,72,sin,79996,60,0.001376021722773621,0.046606749296188354,False
23,7,69,sin,81561,66,0.001074031853300733,0.03896014764904976,False
24,7,72,sin,84840,60,0.001376021722773621,0.08140838146209717,False
25,7,59,sin,79996,66,0.001074031853300733,0.0225120447576046,False
26,7,57,sin,79996,66,0.001074031853300733,0.015508267097175121,False
27,7,56,sin,79996,66,0.001074031853300733,0.0290432907640934,False
28,7,56,sin,94464,62,1e-05,0.0013815368292853236,False
29,7,57,sin,81561,66,0.001074031853300733,0.025988619774580002,False
30,7,56,sin,96029,62,1e-05,0.001125575858168304,False
31,7,59,sin,77063,66,0.001074031853300733,0.014265132136642933,False
32,7,58,sin,91531,62,1e-05,0.0012943343026563525,False
33,8,66,sin,82217,58,1e-05,0.0011380144860595465,False
34,7,59,sin,77276,56,0.001074031853300733,0.026448490098118782,False
35,7,58,sin,91744,52,1e-05,0.0012714192271232605,False
36,7,74,sin,71127,58,0.003112689588082405,0.04632192477583885,False
37,7,69,sin,76883,58,0.001074031853300733,0.026105299592018127,False
38,7,61,swish,84840,130,0.0013226794010638464,0.009019760414958,False
39,7,61,swish,84840,130,0.001074031853300733,0.011952445842325687,False
40,7,59,swish,84840,130,0.001074031853300733,0.017766917124390602,False
41,7,60,swish,99308,126,1e-05,0.0022671720944344997,False
42,7,61,swish,84840,123,0.001074031853300733,0.025659414008259773,False
43,7,58,swish,99308,126,1e-05,0.0019414856797084212,False
44,8,66,swish,89994,122,1e-05,0.0013922398211434484,False
45,7,41,swish,79499,111,0.004216190931920877,0.7026269435882568,False
46,7,59,sin,77276,66,0.001074031853300733,0.045547571033239365,False
47,7,59,sin,74391,66,0.001074031853300733,0.029366375878453255,False
48,7,68,sin,91351,54,1e-05,0.0007394504500553012,False
49,8,76,sin,82037,50,1e-05,0.0007084722747094929,False
50,7,51,sin,71542,39,0.004216190931920877,0.07129744440317154,False
