iteration,n_layers,n_nodes,activation,epochs,grid_size,learning_rate,fitness,is_initial
1,4,81,swish,74137,43,0.0010172168240181,0.05233176425099373,True
2,10,13,swish,27964,36,0.000120829115278,0.7720919251441956,True
3,5,59,sigmoid,57013,153,0.03497067495601,0.5982249975204468,True
4,9,50,relu,34365,61,1.341912135158796e-05,0.9582841396331787,True
5,8,43,sigmoid,98599,91,0.0060378888262044,0.07723444700241089,True
6,6,52,swish,55035,44,0.000346695780528,0.6476910710334778,True
7,7,21,tanh,13256,111,7.648785592457422e-05,0.9333133697509766,True
8,4,97,tanh,53117,154,2.3243640992726305e-05,0.6032070517539978,True
9,7,46,tanh,50116,19,0.0003182256077327,1.4853044748306274,True
10,8,10,tanh,9940,22,0.0002200793007197,0.9713137149810791,True
11,4,79,swish,75120,49,0.0011866132348863868,0.07774926722049713,False
12,4,86,swish,71302,34,0.000602398660874126,0.16983376443386078,False
13,8,43,sigmoid,98600,91,0.005930129893258343,0.08469142019748688,False
14,8,43,sigmoid,98569,91,0.009424793667676554,0.19661039113998413,False
15,4,82,swish,75815,42,0.001007801795312123,0.09532731771469116,False
16,8,44,sigmoid,97983,91,0.00717241140199195,0.10727375745773315,False
17,8,35,sigmoid,100000,89,0.007155848253440659,0.09743600338697433,False
18,4,80,swish,69720,44,0.0009741445072130385,0.047416821122169495,False
19,8,41,sigmoid,100000,85,0.00732290428743749,0.11134184151887894,False
20,8,39,sigmoid,90826,86,0.006638626246853413,0.1781768798828125,False
21,8,38,sigmoid,87948,95,0.007945715957867597,0.1671086549758911,False
22,8,39,sigmoid,98417,86,0.008028224573361676,0.13924619555473328,False
23,7,36,sigmoid,87209,92,0.0074232769904565765,0.11785320192575455,False
24,7,39,sigmoid,91974,79,0.0074222987258644926,0.09124147891998291,False
25,7,41,sigmoid,95396,77,0.006625594181513218,0.3804100751876831,False
26,7,36,sigmoid,85070,77,0.009245121622070826,0.099455326795578,False
27,8,45,sigmoid,100000,99,0.007981461173733344,0.09898264706134796,False
28,6,44,swish,30293,73,0.0955197255723788,1.0000065565109253,False
29,6,45,swish,37326,54,0.09115923934827125,1.0007317066192627,False
30,6,54,sigmoid,27743,62,0.08789409645383833,1.0,False
31,6,44,tanh,25805,20,0.1,1.0000001192092896,False
32,6,46,swish,42044,65,0.09123829583821075,1.0,False
33,6,39,swish,37398,58,0.06747341130196144,1.0000001192092896,False
34,6,44,swish,46762,66,0.09115923934827125,1.0,False
35,6,48,swish,34168,65,0.0743112642379099,1.0,False
36,6,39,swish,29522,58,0.06747341130196144,1.0000001192092896,False
37,6,48,swish,31010,60,0.05730517614766954,1.0000001192092896,False
38,6,48,swish,37326,65,0.09131735232815025,1.0,False
39,6,54,swish,27743,64,0.08789409645383833,36.153297424316406,False
40,6,48,swish,38468,64,0.08971379480384255,0.9999999403953552,False
41,7,49,swish,37733,64,0.08812766172841442,1.0000001192092896,False
42,6,45,swish,36904,62,0.09346956990730905,1.094078540802002,False
43,6,46,swish,37156,65,0.0815595349206992,1.0,False
44,6,48,swish,37607,63,0.08931959975901585,1.0000609159469604,False
45,6,51,swish,36532,68,0.0829560365990011,0.9999999403953552,False
46,6,45,swish,37473,67,0.09249101965649731,1.0000815391540527,False
47,6,48,swish,36786,64,0.09855737253706659,1.0000001192092896,False
48,6,46,swish,37037,63,0.09550660176656452,1.0000001192092896,False
49,6,50,swish,37094,66,0.09799866718455844,1.0,False
50,6,48,swish,36428,68,0.1,1.0,False
