n_layers,n_nodes,activation,epochs,grid_size,learning_rate
4.0,81.0,2.0,74137.0,43.0,0.0010172168240181168
10.0,13.0,2.0,27964.0,36.0,0.00012082911527806532
5.0,59.0,3.0,57013.0,153.0,0.03497067495601004
9.0,50.0,4.0,34365.0,61.0,1.3419121351587961e-05
8.0,43.0,3.0,98599.0,91.0,0.006037888826204495
6.0,52.0,2.0,55035.0,44.0,0.0003466957805280784
7.0,21.0,1.0,13256.0,111.0,7.648785592457422e-05
4.0,97.0,1.0,53117.0,154.0,2.3243640992726305e-05
7.0,46.0,1.0,50116.0,19.0,0.00031822560773271896
8.0,10.0,1.0,9940.0,22.0,0.00022007930071979903
