n_layers,n_nodes,activation,epochs,grid_size,learning_rate
9.0,70.0,1.0,56942.0,107.0,6.816907489642659e-05
6.0,28.0,0.0,40201.0,54.0,0.010810493162176249
7.0,65.0,3.0,100000.0,154.0,4.648190256792575e-05
4.0,85.0,0.0,100000.0,59.0,0.0005643533120828725
7.0,74.0,0.0,76494.0,59.0,0.0026055511576476105
7.0,62.0,2.0,88839.0,135.0,0.0018307686093875278
6.0,88.0,2.0,100000.0,154.0,0.0019021104450183265
9.0,63.0,0.0,92644.0,181.0,1e-05
8.0,5.0,0.0,45839.0,97.0,0.0012369029421399683
3.0,100.0,0.0,60510.0,38.0,0.0024302924132421208
