iteration,n_layers,n_nodes,activation,epochs,grid_size,learning_rate,fitness,is_initial
1,7,11,tanh,47076,46,0.0314316645113961,1.0,True
2,7,100,relu,50922,27,0.0122041432507613,0.9608999490737915,True
3,8,80,relu,72409,176,0.0016587443023398,0.31145158410072327,True
4,8,36,sigmoid,88721,103,0.0799511386790551,1.0,True
5,9,53,relu,44901,102,0.0005500251881296,0.8850245475769043,True
6,3,24,sin,81977,169,0.0074979800600515,0.14491458237171173,True
7,2,90,sin,63730,10,0.0090806812957729,7.16633939743042,True
8,5,86,sin,14031,27,0.0119904925822004,1.0,True
9,8,88,swish,75630,178,0.0126749105551364,1.0000003576278687,True
10,9,84,swish,66229,195,0.0045334507163831,1.0,True
11,5,5,sin,84714,189,0.012070009556261566,0.2806470990180969,False
12,6,27,relu,72214,180,0.013401771378843574,0.6550983190536499,False
13,8,32,tanh,6062,194,0.02756940360008656,0.9364234209060669,False
14,3,5,swish,13155,194,0.0008788861541956233,0.9830185174942017,False
15,5,12,swish,91416,137,1e-05,0.9397937059402466,False
16,9,31,sin,8748,60,1e-05,1.3126434087753296,False
17,7,94,sigmoid,9632,154,0.023134518171417814,0.7659440636634827,False
18,5,39,sin,78744,181,0.036735444445697006,0.9999999403953552,False
19,7,88,swish,7557,108,0.07323018689914372,0.9629892706871033,False
20,10,56,sin,56005,195,0.1,1.0,False
21,4,90,relu,79290,191,0.1,1.0,False
22,7,10,tanh,41395,182,0.1,1.0069738626480103,False
23,10,21,sin,98070,161,1e-05,0.7485895156860352,False
24,4,66,relu,32952,182,1e-05,0.9792020320892334,False
25,10,90,swish,24262,57,0.1,1.0,False
26,10,90,swish,24262,57,1.7551403048208295e-05,0.7382814288139343,False
27,3,6,sin,28236,157,1e-05,1.5782707929611206,False
28,8,5,relu,46949,188,1e-05,1.2500057220458984,False
29,8,100,relu,49811,122,0.0530839482097833,1.0,False
30,10,5,swish,58932,13,0.1,1.0,False
31,7,84,relu,96906,157,1e-05,0.8069391846656799,False
32,6,94,relu,10949,32,1e-05,1.0161372423171997,False
33,2,37,sin,83069,185,1e-05,1.7673792839050293,False
34,5,37,relu,31646,19,0.1,1.000024437904358,False
35,2,94,relu,6917,148,0.1,0.9720438122749329,False
36,9,82,sigmoid,6016,199,1e-05,1.7581915855407715,False
37,10,28,swish,88042,45,1e-05,1.206525206565857,False
38,3,13,tanh,73148,139,0.1,0.9713978171348572,False
39,3,13,tanh,73148,139,0.0263831618978762,0.8157050013542175,False
40,8,6,sin,54115,137,0.037101540582416964,0.650361955165863,False
41,3,5,relu,45943,64,0.1,0.9779799580574036,False
42,8,100,relu,49811,122,1e-05,0.8702115416526794,False
43,8,18,swish,5206,24,0.1,1.0,False
44,9,45,swish,18718,10,0.03837356082859556,1.0001968145370483,False
45,10,43,relu,94780,51,0.1,1.0,False
46,6,39,relu,94930,155,0.1,1.0,False
47,9,43,swish,78340,175,0.04158057597733918,1.0000001192092896,False
48,6,33,sigmoid,8756,139,0.1,1.0,False
49,10,64,sin,7049,138,0.1,1.0096665620803833,False
50,3,5,relu,45943,64,1e-05,1.0062586069107056,False
