iteration,n_layers,n_nodes,activation,epochs,grid_size,learning_rate,fitness,is_initial
1,9,70,tanh,56942,107,6.816907489642659e-05,0.002771640196442604,True
2,6,28,sin,40201,54,0.0108104931621762,0.0053382860496640205,True
3,7,65,sigmoid,100000,154,4.648190256792575e-05,0.003008665982633829,True
4,4,85,sin,100000,59,0.0005643533120828,0.0023068024311214685,True
5,7,74,sin,76494,59,0.0026055511576476,0.013891690410673618,True
6,7,62,swish,88839,135,0.0018307686093875,0.00169656693469733,True
7,6,88,swish,100000,154,0.0019021104450183,0.002102743601426482,True
8,9,63,sin,92644,181,1e-05,0.002597191371023655,True
9,8,5,sin,45839,97,0.0012369029421399,0.002101553836837411,True
10,3,100,sin,60510,38,0.0024302924132421,0.0038679710123687983,True
