iteration,n_layers,n_nodes,activation,epochs,grid_size,learning_rate,fitness,is_initial
1,9,70,tanh,56942,107,6.816907489642659e-05,0.002771640196442604,True
2,6,28,sin,40201,54,0.0108104931621762,0.0053382860496640205,True
3,7,65,sigmoid,100000,154,4.648190256792575e-05,0.003008665982633829,True
4,4,85,sin,100000,59,0.0005643533120828,0.0023068024311214685,True
5,7,74,sin,76494,59,0.0026055511576476,0.013891690410673618,True
6,7,62,swish,88839,135,0.0018307686093875,0.00169656693469733,True
7,6,88,swish,100000,154,0.0019021104450183,0.002102743601426482,True
8,9,63,sin,92644,181,1e-05,0.002597191371023655,True
9,8,5,sin,45839,97,0.0012369029421399,0.002101553836837411,True
10,3,100,sin,60510,38,0.0024302924132421,0.0038679710123687983,True
11,7,72,sin,81561,66,0.001074031853300733,0.0025787733029574156,False
12,7,71,sin,96029,62,1e-05,0.002656924771144986,False
13,8,79,sin,86715,58,1e-05,0.0025440428871661425,False
14,7,54,sin,76220,47,0.004216190931920877,0.983728289604187,False
15,7,72,sin,81561,67,0.001074031853300733,0.0050355480052530766,False
16,7,76,sin,81561,67,0.001074031853300733,0.0021685524843633175,False
17,7,76,sin,77276,66,0.001074031853300733,0.0021499842405319214,False
18,7,76,sin,79996,66,0.001074031853300733,0.0019213849445804954,False
19,7,80,sin,77276,66,0.001074031853300733,0.001979465363547206,False
20,7,78,sin,79996,66,0.001074031853300733,0.006586667150259018,False
21,7,80,sin,77063,66,0.001074031853300733,0.01754019409418106,False
22,7,78,sin,81561,67,0.001074031853300733,0.015193870291113853,False
23,7,77,sin,94464,62,1e-05,0.0026087146252393723,False
24,7,83,sin,79996,66,0.001074031853300733,0.006567163858562708,False
25,7,75,sin,94464,62,1e-05,0.002574705285951495,False
26,8,83,sin,85150,58,1e-05,0.0022263810969889164,False
27,7,58,sin,74655,47,0.004216190931920877,0.9481287002563477,False
28,7,63,sin,77852,67,1e-05,0.0030013129580765963,False
29,7,77,sin,83565,55,1e-05,0.0027825708966702223,False
30,7,93,sin,69948,81,1e-05,0.0036491884384304285,False
31,7,58,sin,81866,80,0.0027875432969192483,0.004749414045363665,False
32,7,61,sin,81561,86,0.001074031853300733,0.002097681863233447,False
33,7,61,sin,81561,83,0.001376021722773621,0.002414270769804716,False
34,7,61,sin,84840,86,0.001074031853300733,0.0029797391034662724,False
35,7,60,sin,99308,82,1e-05,0.0032086048740893602,False
36,7,60,sin,96029,82,1e-05,0.003264158731326461,False
37,8,68,sin,86715,78,1e-05,0.0021813642233610153,False
38,7,43,sin,76220,67,0.004216190931920877,0.002214647363871336,False
39,7,48,sin,79417,87,1e-05,0.0022787577472627163,False
40,7,59,sin,81561,86,0.001074031853300733,0.0020923325791954994,False
41,7,62,sin,85130,75,1e-05,0.0034439992159605026,False
42,7,78,sin,71513,101,1e-05,0.0032031345181167126,False
43,7,43,sin,83431,100,0.0027875432969192483,0.016072049736976624,False
44,7,59,sin,74723,78,0.011644196993263673,0.9815992712974548,False
45,7,69,sin,78579,86,0.001074031853300733,0.002136124297976494,False
46,7,68,sin,93047,82,1e-05,0.0023778316099196672,False
47,7,69,sin,79996,94,0.001074031853300733,0.006482704542577267,False
48,7,42,sin,77063,83,0.001376021722773621,0.001855127396993339,False
49,7,72,sin,79996,83,0.001376021722773621,0.002062572631984949,False
50,7,68,swish,87941,136,0.001074031853300733,0.0018389258766546845,False
