iteration,n_layers,n_nodes,activation,epochs,grid_size,learning_rate,fitness,is_initial
1,4,81,swish,74137,43,0.0010172168240181,0.003908736165612936,True
2,10,13,swish,27964,36,0.000120829115278,0.0012660359498113394,True
3,5,59,sigmoid,57013,153,0.03497067495601,0.004870228003710508,True
4,9,50,relu,34365,61,1.341912135158796e-05,0.6173723936080933,True
5,8,43,sigmoid,98599,91,0.0060378888262044,0.010986755602061749,True
6,6,52,swish,55035,44,0.000346695780528,0.0009891283698379993,True
7,7,21,tanh,13256,111,7.648785592457422e-05,0.001668860437348485,True
8,4,97,tanh,53117,154,2.3243640992726305e-05,0.00027614194550551474,True
9,7,46,tanh,50116,19,0.0003182256077327,0.08584289997816086,True
10,8,10,tanh,9940,22,0.0002200793007197,0.0032788945827633142,True
11,4,93,tanh,54255,142,0.00013786171354880986,0.0015801284462213516,False
12,5,52,swish,67604,67,0.001664718117873561,0.00012982930638827384,False
13,5,68,swish,58827,42,3.471938429792701e-05,0.001884656143374741,False
14,7,15,swish,64950,57,0.001177893553817084,0.0007859954494051635,False
15,7,55,swish,93597,65,0.0037711877295608285,0.032288938760757446,False
16,5,28,swish,40386,47,0.000416788529960374,0.0007992994505912066,False
17,3,100,swish,73306,73,0.0015098617729092842,0.0028867642395198345,False
18,5,54,swish,62345,68,0.0019043718613690028,0.0004064920067321509,False
19,7,35,sigmoid,100000,144,0.017709130150617033,0.024468393996357918,False
20,4,66,sigmoid,51889,157,0.04074087680381709,0.0028254312928766012,False
21,6,60,swish,46182,162,0.04030737819053337,135372.03125,False
22,3,56,relu,67317,150,0.03025813005785731,0.7011114954948425,False
23,5,61,relu,58399,151,0.03342433726551194,0.9577440023422241,False
24,4,57,sigmoid,65989,145,0.031054241618615645,0.0072836498729884624,False
25,6,31,swish,55153,54,0.0020479554295945155,0.0009601982892490923,False
26,6,55,swish,73605,57,0.0014570292933343526,0.006626348476856947,False
27,6,51,swish,72674,57,0.0006852292001876682,0.002471277955919504,False
28,6,54,swish,77296,62,0.0010386300558450747,0.00028231085161678493,False
29,5,63,swish,68404,57,7.090202712916588e-05,0.0006489212391898036,False
30,7,45,sigmoid,80635,131,0.018916294368657542,0.022486628964543343,False
31,8,39,sigmoid,97675,112,0.010770906722476766,0.012914277613162994,False
32,7,46,swish,90259,72,0.0037005558473788697,0.0035242519807070494,False
33,6,49,sigmoid,47929,91,0.008311649353227108,0.015727048739790916,False
34,7,50,swish,91023,70,0.003289238527784692,0.0013835945865139365,False
35,5,47,sigmoid,59167,153,0.017530137069804653,0.006034811493009329,False
36,4,51,sigmoid,56235,178,0.0335379267060809,0.0025100267957895994,False
37,3,52,relu,51825,163,0.043848825077586105,0.955314040184021,False
38,6,63,sigmoid,70843,136,0.02597991343881647,0.013035240583121777,False
39,7,36,sigmoid,79201,102,0.01442677899821522,0.01509017962962389,False
40,6,49,sigmoid,58452,101,0.017607496254539824,0.009791911579668522,False
41,7,34,sigmoid,86541,148,0.022956953465733308,0.017457667738199234,False
42,7,40,sigmoid,83914,125,0.01341900267364613,0.00743921659886837,False
43,7,41,sigmoid,85640,113,0.01804706350398603,0.016870204359292984,False
44,8,44,sigmoid,82936,78,0.009122600036772779,0.014507260173559189,False
45,7,39,sigmoid,74942,103,0.01292849460388426,0.012043561786413193,False
46,8,43,sigmoid,87512,80,0.011918603999683445,0.030816825106739998,False
47,7,39,sigmoid,79533,108,0.01518075589931362,0.015208490192890167,False
48,10,44,relu,32535,33,0.00013529486472492867,0.6036111116409302,False
49,7,41,sigmoid,68609,75,0.014160033342653467,0.014744625426828861,False
50,8,42,sigmoid,39857,77,0.0005363939371057444,0.006027809344232082,False
