test_name,final_l1_ab_error,final_l1_re_error,final_l2_ab_error,final_l2_re_error,final_pde_loss,final_bc_loss,final_ic_loss,final_total_loss,runtime,num_layers,num_nodes,activation_func,epochs,grid_size,learning_rate
convection_2d_0,0.2722761034965515,0.4276878237724304,0.11539191752672195,0.48038846254348755,0.0004693053779192269,0.014292637817561626,0.000704409962054342,0.015466352924704552,142.76003646850586,3,40,sin,41752,43,0.0003442953106491
convection_2d_1,0.019033465534448624,0.029897525906562805,0.0005380284856073558,0.03280254453420639,7.150590590754291e-06,5.6428358220728114e-05,2.295926424267236e-05,8.653820987092331e-05,330.6491460800171,3,95,tanh,90563,69,0.000230567007494
convection_2d_2,0.04428853094577789,0.06956785917282104,0.003948928788304329,0.08886782824993134,0.000283818255411461,0.0005258565070107579,1.6536931070731953e-05,0.0008262116461992264,588.5901169776917,6,19,swish,85216,187,0.0001842411804467
convection_2d_3,0.6366234421730042,1.0,0.5000232458114624,1.0,1.6530185242619115e-30,0.0,0.4965517222881317,0.4965517222881317,631.2458114624023,7,76,swish,59743,145,0.0111303463730186
convection_2d_4,0.0516233816742897,0.08108934760093689,0.0045186677016317844,0.09506269544363022,8.745687227929011e-05,0.0006215617177076638,2.333152951905504e-05,0.0007323501631617546,912.9825112819672,10,46,swish,56462,181,1.980500896568931e-05
convection_2d_5,0.01967409811913967,0.030903823673725128,0.0005354601889848709,0.03272416070103645,6.695029696857091e-06,4.6207347622839734e-05,5.25601990375435e-06,5.815839904244058e-05,987.2451298236847,9,91,swish,93620,56,0.0003465430528732
convection_2d_6,0.5541664958000183,0.8704776763916016,0.4756927490234375,0.9753672480583191,5.0591817853273824e-05,5.10128666064702e-06,2.8326780011411756e-05,8.40198845253326e-05,92.16648697853088,3,19,sigmoid,27173,12,0.0974139822155868
convection_2d_7,0.580876350402832,0.9124332070350647,0.45081040263175964,0.9495150446891785,0.0014811282744631171,0.06750694662332535,0.015702050179243088,0.08469012379646301,213.36082768440247,2,84,relu,78355,162,5.247955131525455e-05
convection_2d_8,0.41938093304634094,0.6587582230567932,0.2705467641353607,0.7355735301971436,0.0012157273013144732,0.024454155936837196,0.001593775232322514,0.027263659983873367,368.75910329818726,6,15,swish,45859,125,0.0001253250175418
convection_2d_9,0.051500316709280014,0.0808960422873497,0.004127824679017067,0.09085849672555923,0.005198265425860882,0.0009923448087647557,0.0008157776319421828,0.007006387691944838,386.8067400455475,8,31,sigmoid,33646,199,0.0108693872330151
convection_2d_10,0.6366234421730042,1.0,0.5000232458114624,1.0,0.0,0.0,0.48076921701431274,0.48076921701431274,652.7607388496399,10,9,relu,82065,26,0.0509460368461985
convection_2d_11,0.488326758146286,0.767057478427887,0.34469175338745117,0.8302718997001648,0.001247790060006082,0.033192671835422516,0.0031495175790041685,0.03758997842669487,53.542388916015625,5,84,swish,8155,130,0.0002315887259497
convection_2d_12,0.04065180569887161,0.06385534256696701,0.003313035937026143,0.08139879256486893,0.00023839117784518749,0.000852717028465122,1.790136593626812e-05,0.0011090096086263657,275.68416595458984,8,20,tanh,42356,192,0.0004457643374031
convection_2d_13,0.054277453571558,0.08525833487510681,0.004056989680975676,0.0900755301117897,0.000652009155601263,0.0007730923243798316,0.0003348063619341701,0.0017599078128114343,527.5032579898834,9,25,sin,65809,68,0.0015399967234343
convection_2d_14,0.6366234421730042,1.0,0.5000232458114624,1.0,1.9770954318154565e-10,1.4850007404730287e-22,0.4895833432674408,0.4895833432674408,120.43936514854431,7,16,sin,19160,48,0.0882841843935834
convection_2d_15,0.004393684212118387,0.0069015431217849255,4.588869705912657e-05,0.009579828940331936,3.4846477774408413e-06,3.4478747693356127e-05,1.2402863376337336e-06,3.92036818084307e-05,423.00301337242126,5,73,sigmoid,87782,113,3.136624269551213e-05
convection_2d_16,0.4528098404407501,0.7112679481506348,0.3060096204280853,0.7822983860969543,0.0010616611689329147,0.02844126708805561,0.002093246439471841,0.03159617632627487,117.65549063682556,9,59,sigmoid,16465,59,5.978603708132954e-05
convection_2d_17,0.026100387796759605,0.04099815711379051,0.0011587495682761073,0.048139289021492004,4.823153358302079e-05,0.0001074593819794245,4.6199402277125046e-05,0.00020189031783957034,655.275269985199,8,23,relu,95275,92,0.0037080153258158
convection_2d_18,0.02104988694190979,0.03306489437818527,0.0007694372907280922,0.03922758251428604,1.0795039088407066e-05,0.00010523539822315797,8.13086808193475e-06,0.0001241613063029945,535.0459036827087,6,70,swish,79262,40,0.0016988268340562
convection_2d_19,0.016876809298992157,0.026509877294301987,0.0006209870334714651,0.03524083271622658,2.9392198484856635e-05,0.0005137153784744442,2.8428648874978535e-06,0.0005459504318423569,391.40192914009094,4,18,sigmoid,92897,151,0.0016944154715722
convection_2d_20,0.5670850872993469,0.8907700181007385,0.436114639043808,0.9339104890823364,0.004425805993378162,0.055684592574834824,0.01458605844527483,0.07469645887613297,175.69073724746704,2,89,swish,59855,130,0.0013455180805926
convection_2d_21,0.5569477677345276,0.8748464584350586,0.4323287904262543,0.9298480153083801,0.0008259182795882225,0.052738238126039505,0.007940439507365227,0.06150459498167038,466.4478805065155,7,7,sigmoid,64680,138,6.496304998863703e-05
convection_2d_22,0.08925774693489075,0.14020493626594543,0.013549893163144588,0.16461630165576935,5.153581514605321e-05,0.0012670571450144053,9.575128206051886e-05,0.0014143441803753376,332.95737767219543,9,78,swish,34730,32,0.0001576744387178
convection_2d_23,0.6342372298240662,0.9962517619132996,0.5304715633392334,1.0299969911575317,0.002251639263704419,0.057403575628995895,0.15023186802864075,0.2098870873451233,42.86540174484253,2,51,relu,14454,125,0.0001410268922152
convection_2d_24,0.020611202344298363,0.03237581253051758,0.0006318166269920766,0.035546790808439255,0.005120920017361641,0.00036934009403921664,0.00035036407643929124,0.005840624216943979,277.6614091396332,5,66,sin,55987,92,0.0003019565486771
convection_2d_25,0.02320336550474167,0.03644755110144615,0.0009696679771877825,0.0440368689596653,0.0004900599597021937,0.00013000554463360459,1.7548456526128575e-05,0.0006376139353960752,368.38817501068115,9,85,relu,39128,119,0.0005181823400198
convection_2d_26,0.07296068221330643,0.11460570991039276,0.009385545738041401,0.13700444996356964,0.0015672933077439666,0.0009647766128182411,0.0003600579802878201,0.0028921279590576887,194.83064913749695,7,41,sigmoid,32617,57,0.0152207537032514
